Bus Name,Sentence,POS,NEG,NEU
Tuấn Hiệp,"Nói chug tạm được,xe tới trễ 40phut",0.0352,0.0521,0.9127
Tuấn Hiệp,Đi 1 lần ko có lần 2,0.8549,0.144,0.0011
Tuấn Hiệp,Nhân viên trên xe hút thuốc lá làm ảnh hưởng đến người khác,0.0275,0.9722,0.0003
Tuấn Hiệp,Tốt 👍,0.9991,0.0002,0.0007
Tuấn Hiệp,"Xe đẹp,chổ nằm thoải mái ,tài xế rất chuyên nghiệp,đặt vé dễ dàng và tiện lợi",0.9995,0.0004,1e-04
Tuấn Hiệp,Nhà xe báo gần tới yêu cầu khách ra đường đứng đón cho tiện nhưng có khi nửa tiếng sau mới thấy mặt xe. Đặt chỗ ngồi trên app xong lên xe vẫn bị sắp chỗ khác phía dưới. Xe dừng lại lâu gây trễ nãi giờ so với giờ dự kiến.,0.0007,0.9949,0.0044
Tuấn Hiệp,"Xe tăng thêm 20 k trong khi vé trên web là 200. Đã thanh toán , chạy rất là lâu , sự cố sẽ bị hư máy lạnh ( này không sao) nhưng chạy từ thủ Đức đến Cay lậy mà tận 3 h 37 phút thì thua thật sự",0.001,0.9988,0.0002
Tuấn Hiệp,Phụ xe nói chuyện ko thiện cảm,0.0023,0.9963,0.0014
Tuấn Hiệp,Quá hài lòng,0.9997,0.0002,1e-04
Tuấn Hiệp,Đặt xe trên app thì báo 16h nhưng nhà xe tự ý đổi thành 21h và cũng không gọi để báo trước cho khách biết. Bù lại dịch vụ từ lúc lên xe thì khá ok.,0.9343,0.0086,0.0571
Tuấn Hiệp,"Xe nhận trả khách liên tục, dù đã full khách nhưng vẫn nhận để khách ngồi chính giữa?, xe ồn kinh khủng, giường nằm k có màn che, hút thuốc trên xe. Nói chung k nên đi và app k nên đề suất nhà xe này nữa.",0.0012,0.9987,1e-04
Tuấn Hiệp,Tết nên phải chịu thôi,0.9931,0.0062,0.0007
Tuấn Hiệp,Đi bạc liêu mà chở xuống cà mau,0.9979,0.0019,1e-04
Tuấn Hiệp,quá tệ,0.0017,0.9982,1e-04
Tuấn Hiệp,"Nhà xe tự ý đổi ghế , đặt 3 ghế hàng cuối để mình nằm kế bé nhỏ , tự ý đổi thành hàng ghế khác , hỏi thì lơ xe kêu gọi về tổng đài mà giải quyết chứ ko giải quyết , xe khách mà đầy gián con chạy loanh quoanh , đặt vé khởi hành lúc 5h xong dời lại 5h32 đến tận 6h hơn mới đc lên xe , 7h chiều xe mới bắt đầu chạy",0.0012,0.9987,0.0002
Tuấn Hiệp,"Book vé 16h30 xong đợi đến gần ngày đi mới email thông báo đổi lịch từ app booking, không chuyên nghiệp gọi cuộc điện thoại đến khách hàng trong chuyến đi. Đổi lịch đón 18h10 (phải đi tìm sđt nhà xe và tài xế) contact gọi hỏi mới nhận phản hồi trơ trẻn từ nhà xe. Cuối cùng đợi đến 21h chuyến xe mới đón khách. Chuyến xe thì tắt định vị, tài xế chuyến xe và phục vụ xe thì nói chuyện chợ búa.",0.0003,0.9994,0.0002
Tuấn Hiệp,Nhà xe nên bố trí wifi và ổ sạc điện thoại cho khách sẽ tốt hơn,0.0037,0.9958,0.0005
Tuấn Hiệp,"TÀI XẾ XE: NÓI CHUYỆN KHÔNG ĐƯỢC LỊCH SỰ TÍ NÀO "" CHỬI NÓI CHUYỆN DỤ MÁ, ĐỤ MẸ KHÔNG"" VÉ: THÌ MẮC "" ĐẶT VÉ TRÊN APP 420, RA CHUYỂN KHOẢN THÊM 30K PHÒNG? )",0.001,0.9989,1e-04
Tuấn Hiệp,"Dừng rước khách dọc đường và lấy hàng liên tục, nhồi nhét khách đầy hàng lang, trễ giờ hơn 3 tiếng làm khách hàng trễ giờ. Quá tệ",0.0008,0.9991,1e-04
Tuấn Hiệp,nhà xe đến lâu đợi hơn tiếng mới tới,0.0015,0.9984,1e-04
Tuấn Hiệp,"Hết sức tệ, chưa bao giờ đi chiếc xe nào bất ổn như xe vừa trải qua, xe cũ, đường xa mà rước khách liên tục, dự kiến 4h sáng tới mà trễ hơn 3 tiếng, khách thì rước súp dọc đường cả chục người, quăng lên xe muốn ngồi đâu ngồi, nằm dài dưới 2 bên đường đi, trạm dừng chân cũ kỉ, tài xế cọc, nếu có điều kiện thì mọi người nên đi limousine.",0.0009,0.999,1e-04
Tuấn Hiệp,"Đặt vé tới Năm Căn, đến bến Cà Mau lơ xe bảo đi xe khác để về Năm Căn, không hướng dẫn đi xe trung chuyển",0.004,0.7261,0.2698
Tuấn Hiệp,Tôi đặt vé 16h 30 dự kiến mà giờ đã 20h xe vẫn chưa đón,0.0011,0.9952,0.0037
Tuấn Hiệp,"Càng về sau dịch vụ không ổn mấy,trên app cho đặt số ghế tùy chọn mà lên xe thì lại là số ghế khác. Giờ rước báo trước quá ngắn có 30p.Không phát nước và khăn lạnh.",0.0003,0.9991,0.0006
Tuấn Hiệp,đúng giường đúng xe rất ok,0.9997,0.0002,1e-04
Tuấn Hiệp,"Vé xe ghi 8am xuất phát, 7:20 nv gọi hối thúc ra bến trước 7:30, khi ra tới bến thì kêu ngồi chờ, xe trung chuyển chở ra chỗ xe đậu thì chờ tiếp tới 8:10 mới xuất phát.. Xe cũ, dơ, nặng mùi xăng dầu, đề nghị nhà xe vệ sinh xe sạch sẽ",0.0004,0.9994,0.0003
Tuấn Hiệp,nhà xe tuấn hiệp mãi đỉnh,0.9994,0.0002,0.0004
